ID_Transaccion,Fecha,Titulo,Genero,Precio_Unitario,Cantidad,Total_Transaccion,Metodo_Pago
T-10083,2025-01-05,El Último Hechicero de Aldara,Fantasía / Romantasy,17.5,1,17.5,Mercado Pago
T-10084,2025-01-05,Rebeldes sin Señal,Young Adult,14.97,1,14.97,Tarjeta de Débito
T-10085,2025-01-05,La Verdad Detrás del Fuego,Thriller / Suspense,20.58,1,20.58,Tarjeta de Débito
T-10086,2025-01-05,Cuentos para Soñar Despierto,Infantil,12.09,1,12.09,Tarjeta de Débito
T-10087,2025-01-05,La Princesa que Quería Ser Astronauta,Infantil,12.99,2,25.98,Efectivo
T-10088,2025-01-05,Volver a Quererte en Otoño,Romance,15.58,1,15.58,Tarjeta de Crédito
T-10089,2025-01-05,Ciudadanos de Segunda,Distopía / Especulativa,18.47,1,18.47,Tarjeta de Débito
T-10090,2025-01-05,Las Aventuras de Lila y el Gato Mágico,Infantil,12.96,1,12.96,Transferencia
T-10091,2025-01-05,Cyberpunk Shibuya,Manga / Novela Gráfica,15.4,2,30.8,Tarjeta de Crédito
T-10092,2025-01-06,La Marca del Fénix Plateado,Fantasía / Romantasy,21.35,1,21.35,Efectivo
T-10093,2025-01-06,El Último Hechicero de Aldara,Fantasía / Romantasy,17.79,2,35.58,Tarjeta de Crédito
T-10094,2025-01-06,Hábitos de Titanio,Autoayuda / Desarrollo Personal,22.69,1,22.69,Efectivo
T-10095,2025-01-06,Cuentos para Soñar Despierto,Infantil,12.26,1,12.26,Mercado Pago
T-10096,2025-01-06,La Singularidad de Vega,Ciencia Ficción,23.53,1,23.53,Mercado Pago
T-10097,2025-01-06,Estrategia Digital 360°,Negocios / Técnicos,29.83,1,29.83,Mercado Pago
T-10098,2025-01-06,Máquinas que Sueñan,Ciencia Ficción,21.53,2,43.06,Tarjeta de Débito
T-10099,2025-01-06,Liderazgo Silencioso,Autoayuda / Desarrollo Personal,24.36,1,24.36,Transferencia
T-10100,2025-01-06,Oscuridad al Mediodía,Thriller / Suspense,17.32,1,17.32,Mercado Pago
T-10101,2025-01-06,Akira Reborn: Edición Integral,Manga / Novela Gráfica,29.11,2,58.22,Tarjeta de Crédito
T-10102,2025-01-06,Horizonte Cuántico,Ciencia Ficción,22.58,3,67.74,Efectivo
T-10103,2025-01-06,Mi Primer Atlas del Universo,Infantil,18.93,1,18.93,Tarjeta de Débito
T-10104,2025-01-06,Cuentos para Soñar Despierto,Infantil,12.17,2,24.34,Mercado Pago
T-10105,2025-01-07,La Verdad Detrás del Fuego,Thriller / Suspense,20.43,1,20.43,Tarjeta de Débito
T-10106,2025-01-07,De la Favela a las Estrellas,Biografía / Memorias,21.79,1,21.79,Tarjeta de Crédito
T-10107,2025-01-07,El Arte de Soltar y Avanzar,Autoayuda / Desarrollo Personal,18.12,1,18.12,Tarjeta de Crédito
T-10108,2025-01-07,Rebeldes sin Señal,Young Adult,14.61,2,29.22,Efectivo
T-10109,2025-01-07,Fuego en la Corte de Hielo,Fantasía / Romantasy,25.34,3,76.02,Tarjeta de Débito
T-10110,2025-01-07,Samurai Nocturno Vol. 5,Manga / Novela Gráfica,13.23,2,26.46,Transferencia
T-10111,2025-01-07,Liderazgo Silencioso,Autoayuda / Desarrollo Personal,23.81,1,23.81,Mercado Pago
T-10112,2025-01-07,La República del Silencio,Distopía / Especulativa,21.89,2,43.78,Tarjeta de Crédito
T-10113,2025-01-07,Tres Días para Morir,Thriller / Suspense,17.46,1,17.46,Tarjeta de Crédito
T-10114,2025-01-07,La Heredera del Viento Oscuro,Fantasía / Romantasy,18.55,1,18.55,Efectivo
T-10115,2025-01-07,2084: El Nuevo Orden,Distopía / Especulativa,23.63,1,23.63,Tarjeta de Crédito
T-10116,2025-01-07,Meditaciones del Peregrino,Religión / Espiritualidad,14.74,3,44.22,Tarjeta de Crédito
T-10117,2025-01-07,Inteligencia Artificial para Directivos,Negocios / Técnicos,32.09,2,64.18,Tarjeta de Débito
T-10118,2025-01-07,Gestión Ágil de Proyectos Reales,Negocios / Técnicos,28.25,1,28.25,Transferencia
T-10119,2025-01-08,Las Aventuras de Lila y el Gato Mágico,Infantil,13.14,1,13.14,Efectivo
T-10120,2025-01-08,El Año en que Callaron las Máquinas,Distopía / Especulativa,20.47,1,20.47,Tarjeta de Crédito
T-10121,2025-01-08,Estrategia Digital 360°,Negocios / Técnicos,30.69,1,30.69,Efectivo
T-10122,2025-01-08,Ecos del Futuro Perdido,Ciencia Ficción,19.62,1,19.62,Tarjeta de Débito
T-10123,2025-01-08,Utopía Fracturada,Distopía / Especulativa,16.56,3,49.68,Transferencia
T-10124,2025-01-08,La Chica del Último Vagón,Young Adult,14.02,1,14.02,Mercado Pago
T-10125,2025-01-08,Más Allá de las Estrellas (YA),Young Adult,17.63,2,35.26,Mercado Pago
T-10126,2025-01-08,Inteligencia Artificial para Directivos,Negocios / Técnicos,33.44,1,33.44,Tarjeta de Débito
T-10127,2025-01-08,La Música en Mis Venas,Biografía / Memorias,25.54,1,25.54,Tarjeta de Crédito
T-10128,2025-01-08,Samurai Nocturno Vol. 5,Manga / Novela Gráfica,13.23,3,39.69,Tarjeta de Crédito
T-10129,2025-01-08,2084: El Nuevo Orden,Distopía / Especulativa,22.83,3,68.49,Mercado Pago
T-10130,2025-01-08,Meditaciones del Peregrino,Religión / Espiritualidad,14.96,1,14.96,Tarjeta de Crédito
T-10131,2025-01-08,El Jardín de las Brujas Perdidas,Fantasía / Romantasy,19.41,2,38.82,Transferencia
T-10132,2025-01-08,Data Science: De Cero a Experto,Negocios / Técnicos,40.12,1,40.12,Transferencia
T-10133,2025-01-08,Fe en Tiempos Modernos,Religión / Espiritualidad,19.69,1,19.69,Tarjeta de Crédito
T-10134,2025-01-08,Gestión Ágil de Proyectos Reales,Negocios / Técnicos,29.17,1,29.17,Efectivo
T-10135,2025-01-09,Kaze no Senshi Vol. 1,Manga / Novela Gráfica,12.69,1,12.69,Tarjeta de Débito
T-10136,2025-01-09,Hábitos de Titanio,Autoayuda / Desarrollo Personal,23.02,2,46.04,Efectivo
T-10137,2025-01-09,Utopía Fracturada,Distopía / Especulativa,17.37,1,17.37,Tarjeta de Crédito
T-10138,2025-01-09,El Jardín de las Brujas Perdidas,Fantasía / Romantasy,19.28,1,19.28,Efectivo
T-10139,2025-01-09,Cuando el Destino Insiste,Romance,15.64,1,15.64,Tarjeta de Débito
T-10140,2025-01-09,Utopía Fracturada,Distopía / Especulativa,16.88,1,16.88,Transferencia
T-10141,2025-01-09,La Singularidad de Vega,Ciencia Ficción,24.01,2,48.02,Tarjeta de Débito
T-10142,2025-01-09,El Bosque de los Animales Parlantes,Infantil,15.32,2,30.64,Tarjeta de Crédito
T-10143,2025-01-09,Memorias de un Chef Callejero,Biografía / Memorias,22.98,1,22.98,Tarjeta de Débito
T-10144,2025-01-09,El Nuevo Marketing: Era de la IA,Negocios / Técnicos,27.98,1,27.98,Efectivo
T-10145,2025-01-09,El Café de los Corazones Rotos,Romance,14.61,1,14.61,Tarjeta de Crédito
T-10146,2025-01-09,Junto al Fuego de Diciembre,Romance,16.62,1,16.62,Tarjeta de Crédito
T-10147,2025-01-09,Código Génesis: Protocolo IA,Ciencia Ficción,25.58,1,25.58,Efectivo
T-10148,2025-01-09,Cuando el Destino Insiste,Romance,15.69,1,15.69,Tarjeta de Crédito
T-10149,2025-01-09,El Algoritmo de la Conciencia,Ciencia Ficción,25.49,1,25.49,Tarjeta de Crédito
T-10150,2025-01-09,El Testigo Silencioso,Thriller / Suspense,19.64,1,19.64,Tarjeta de Débito
T-10151,2025-01-10,El Jardín de las Brujas Perdidas,Fantasía / Romantasy,19.33,1,19.33,Tarjeta de Crédito
T-10152,2025-01-10,Biblia de Estudio Contemporánea,Religión / Espiritualidad,41.0,1,41.0,Tarjeta de Crédito
T-10153,2025-01-10,El Arte de Soltar y Avanzar,Autoayuda / Desarrollo Personal,18.26,1,18.26,Tarjeta de Crédito
T-10154,2025-01-10,Neon District: Año Cero,Manga / Novela Gráfica,15.98,1,15.98,Tarjeta de Débito
T-10155,2025-01-10,Tres Días para Morir,Thriller / Suspense,18.26,1,18.26,Tarjeta de Crédito
T-10156,2025-01-10,"Nosotros, los Invisibles",Young Adult,15.35,1,15.35,Tarjeta de Débito
T-10157,2025-01-10,Reinos de Cristal Roto,Fantasía / Romantasy,23.91,1,23.91,Tarjeta de Crédito
T-10158,2025-01-10,Ecos del Futuro Perdido,Ciencia Ficción,19.84,1,19.84,Tarjeta de Débito
T-10159,2025-01-10,Tal Vez Mañana,Romance,14.83,1,14.83,Mercado Pago
T-10160,2025-01-10,2084: El Nuevo Orden,Distopía / Especulativa,23.24,2,46.48,Tarjeta de Débito
T-10161,2025-01-10,El Trono de Cenizas Eternas,Fantasía / Romantasy,25.05,1,25.05,Efectivo
T-10162,2025-01-10,Mecha Warriors: Amanecer Vol. 4,Manga / Novela Gráfica,13.68,1,13.68,Tarjeta de Débito
T-10163,2025-01-10,La Princesa que Quería Ser Astronauta,Infantil,13.05,1,13.05,Transferencia
T-10164,2025-01-10,Colores del Mundo: Un Viaje Ilustrado,Infantil,16.72,1,16.72,Tarjeta de Crédito
T-10165,2025-01-10,Volver a Quererte en Otoño,Romance,15.66,1,15.66,Tarjeta de Crédito
T-10166,2025-01-10,Cartas que Nunca Envié,Romance,17.39,1,17.39,Tarjeta de Débito
T-10167,2025-01-11,Data Science: De Cero a Experto,Negocios / Técnicos,39.06,1,39.06,Transferencia
T-10168,2025-01-11,Sabiduría Ancestral para Hoy,Religión / Espiritualidad,18.33,1,18.33,Tarjeta de Crédito
T-10169,2025-01-11,Dino Rex y la Isla Misteriosa,Infantil,14.35,1,14.35,Efectivo
T-10170,2025-01-11,Neurolink: El Despertar,Ciencia Ficción,27.43,1,27.43,Tarjeta de Débito
T-10171,2025-01-11,Kaze no Senshi Vol. 1,Manga / Novela Gráfica,13.0,1,13.0,Tarjeta de Crédito
T-10172,2025-01-11,Cuentos para Soñar Despierto,Infantil,11.84,1,11.84,Tarjeta de Crédito
T-10173,2025-01-11,Nadie Sale Inocente,Thriller / Suspense,17.02,1,17.02,Tarjeta de Débito
T-10174,2025-01-11,Corte de Espinas y Sombras,Fantasía / Romantasy,22.39,3,67.17,Tarjeta de Débito
T-10175,2025-01-11,Minimalismo Emocional,Autoayuda / Desarrollo Personal,16.74,1,16.74,Mercado Pago
T-10176,2025-01-11,El Año en que Callaron las Máquinas,Distopía / Especulativa,19.96,1,19.96,Tarjeta de Débito
T-10177,2025-01-11,El Legado del Abuelo Navegante,Biografía / Memorias,24.47,3,73.41,Tarjeta de Crédito
T-10178,2025-01-11,Más Allá de las Estrellas (YA),Young Adult,18.46,1,18.46,Tarjeta de Crédito
T-10179,2025-01-11,Días de Cristal y Acero,Young Adult,17.07,2,34.14,Tarjeta de Crédito
T-10180,2025-01-11,La Mente Imparable,Autoayuda / Desarrollo Personal,18.65,1,18.65,Tarjeta de Crédito
T-10181,2025-01-11,La Mente Imparable,Autoayuda / Desarrollo Personal,19.18,1,19.18,Tarjeta de Débito
T-10182,2025-01-11,El Diario de Gratitud Espiritual,Religión / Espiritualidad,12.91,2,25.82,Tarjeta de Débito
T-10183,2025-01-11,Hana no Kokoro Vol. 1,Manga / Novela Gráfica,11.96,1,11.96,Efectivo
T-10184,2025-01-11,La Verdad Detrás del Fuego,Thriller / Suspense,20.65,2,41.3,Tarjeta de Débito
T-10185,2025-01-11,El Testigo Silencioso,Thriller / Suspense,20.48,1,20.48,Tarjeta de Crédito
T-10186,2025-01-11,Memorias de un Chef Callejero,Biografía / Memorias,23.17,1,23.17,Tarjeta de Crédito
T-10187,2025-01-11,Liderazgo Silencioso,Autoayuda / Desarrollo Personal,24.16,1,24.16,Mercado Pago
T-10188,2025-01-12,Promesas Bajo la Lluvia,Romance,17.79,1,17.79,Efectivo
T-10189,2025-01-12,El Jardín de las Brujas Perdidas,Fantasía / Romantasy,19.07,1,19.07,Mercado Pago
T-10190,2025-01-12,Neurolink: El Despertar,Ciencia Ficción,27.51,1,27.51,Mercado Pago
T-10191,2025-01-12,Sombras Bajo la Luna Roja,Fantasía / Romantasy,19.87,2,39.74,Tarjeta de Crédito
T-10192,2025-01-12,Cuando el Destino Insiste,Romance,16.2,1,16.2,Efectivo
T-10193,2025-01-12,La Chica del Último Vagón,Young Adult,14.03,1,14.03,Tarjeta de Débito
T-10194,2025-01-12,Mareas de Verano,Romance,14.33,1,14.33,Tarjeta de Débito
T-10195,2025-01-12,Oscuridad al Mediodía,Thriller / Suspense,17.45,1,17.45,Efectivo
T-10196,2025-01-12,La Verdad Detrás del Fuego,Thriller / Suspense,21.13,1,21.13,Mercado Pago
T-10197,2025-01-12,La Música en Mis Venas,Biografía / Memorias,25.09,1,25.09,Transferencia
T-10198,2025-01-12,El Verano que Cambió Todo,Young Adult,16.64,1,16.64,Efectivo
T-10199,2025-01-12,El Clan de la Serpiente Dorada Vol. 2,Manga / Novela Gráfica,14.19,2,28.38,Transferencia
T-10200,2025-01-12,Tres Días para Morir,Thriller / Suspense,17.57,3,52.71,Mercado Pago
T-10201,2025-01-12,Corte de Espinas y Sombras,Fantasía / Romantasy,23.57,2,47.14,Tarjeta de Débito
T-10202,2025-01-12,La República del Silencio,Distopía / Especulativa,21.86,1,21.86,Tarjeta de Débito
T-10203,2025-01-12,Despierta Tu Mejor Versión,Autoayuda / Desarrollo Personal,19.4,1,19.4,Tarjeta de Débito
T-10204,2025-01-12,La Verdad Detrás del Fuego,Thriller / Suspense,21.52,1,21.52,Tarjeta de Débito
T-10205,2025-01-12,"Nosotros, los Invisibles",Young Adult,14.95,1,14.95,Tarjeta de Débito
T-10206,2025-01-12,La Librería de los Sueños Compartidos,Romance,17.64,1,17.64,Tarjeta de Débito
T-10207,2025-01-12,El Inventor que Cambió el Mundo,Biografía / Memorias,28.75,1,28.75,Efectivo
T-10208,2025-01-12,El Trono de Cenizas Eternas,Fantasía / Romantasy,25.24,1,25.24,Transferencia
T-10209,2025-01-12,Cartas que Nunca Envié,Romance,16.9,1,16.9,Transferencia
T-10210,2025-01-12,La Habitación 217,Thriller / Suspense,19.1,1,19.1,Efectivo
T-10211,2025-01-13,El Inventor que Cambió el Mundo,Biografía / Memorias,28.48,1,28.48,Tarjeta de Crédito
T-10212,2025-01-13,Nadie Sale Inocente,Thriller / Suspense,17.06,1,17.06,Mercado Pago
T-10213,2025-01-13,La Habitación 217,Thriller / Suspense,19.02,1,19.02,Tarjeta de Débito
T-10214,2025-01-13,La República del Silencio,Distopía / Especulativa,21.54,1,21.54,Mercado Pago
T-10215,2025-01-13,Inteligencia Artificial para Directivos,Negocios / Técnicos,32.74,1,32.74,Efectivo
T-10216,2025-01-13,Neon District: Año Cero,Manga / Novela Gráfica,15.53,1,15.53,Efectivo
T-10217,2025-01-13,Cuentos para Soñar Despierto,Infantil,11.65,1,11.65,Tarjeta de Crédito
T-10218,2025-01-13,Dino Rex y la Isla Misteriosa,Infantil,13.59,1,13.59,Mercado Pago
T-10219,2025-01-13,Junto al Fuego de Diciembre,Romance,17.15,1,17.15,Tarjeta de Crédito
T-10220,2025-01-13,Promesas Bajo la Lluvia,Romance,18.23,2,36.46,Mercado Pago
T-10221,2025-01-13,Neon District: Año Cero,Manga / Novela Gráfica,16.15,1,16.15,Tarjeta de Crédito
T-10222,2025-01-13,El Inventor que Cambió el Mundo,Biografía / Memorias,28.14,1,28.14,Tarjeta de Crédito
T-10223,2025-01-13,Sombras Bajo la Luna Roja,Fantasía / Romantasy,19.61,1,19.61,Tarjeta de Débito
T-10224,2025-01-13,De la Favela a las Estrellas,Biografía / Memorias,22.41,1,22.41,Tarjeta de Crédito
T-10225,2025-01-14,2084: El Nuevo Orden,Distopía / Especulativa,22.67,1,22.67,Tarjeta de Débito
T-10226,2025-01-14,Zona de Exclusión,Distopía / Especulativa,18.92,1,18.92,Transferencia
T-10227,2025-01-14,Finanzas Personales para Mortales,Autoayuda / Desarrollo Personal,21.52,2,43.04,Tarjeta de Débito
T-10228,2025-01-14,El Legado del Abuelo Navegante,Biografía / Memorias,24.42,1,24.42,Tarjeta de Crédito
T-10229,2025-01-14,Máquinas que Sueñan,Ciencia Ficción,21.04,1,21.04,Tarjeta de Crédito
T-10230,2025-01-14,La Marca del Fénix Plateado,Fantasía / Romantasy,22.43,3,67.29,Tarjeta de Débito
T-10231,2025-01-14,Promesas Bajo la Lluvia,Romance,17.74,1,17.74,Transferencia
T-10232,2025-01-14,Corte de Espinas y Sombras,Fantasía / Romantasy,23.1,1,23.1,Efectivo
T-10233,2025-01-14,El Bosque de los Animales Parlantes,Infantil,15.29,1,15.29,Tarjeta de Crédito
T-10234,2025-01-14,La Canción del Dragón Dormido,Fantasía / Romantasy,21.49,2,42.98,Efectivo
T-10235,2025-01-14,El Robot Amigable de Tomás,Infantil,11.1,1,11.1,Transferencia
T-10236,2025-01-14,Cyberpunk Shibuya,Manga / Novela Gráfica,14.88,1,14.88,Tarjeta de Crédito
T-10237,2025-01-14,El Último Beso en París,Romance,19.26,1,19.26,Efectivo
T-10238,2025-01-14,El Último Beso en París,Romance,18.86,1,18.86,Tarjeta de Débito
T-10239,2025-01-14,La Chica del Último Vagón,Young Adult,13.82,1,13.82,Tarjeta de Débito
T-10240,2025-01-15,El Legado del Abuelo Navegante,Biografía / Memorias,24.32,1,24.32,Tarjeta de Crédito
T-10241,2025-01-15,Código Génesis: Protocolo IA,Ciencia Ficción,25.13,1,25.13,Tarjeta de Débito
T-10242,2025-01-15,Utopía Fracturada,Distopía / Especulativa,16.82,1,16.82,Tarjeta de Crédito
T-10243,2025-01-15,La Canción del Dragón Dormido,Fantasía / Romantasy,21.28,1,21.28,Efectivo
T-10244,2025-01-15,Tsuki Academy Vol. 3,Manga / Novela Gráfica,11.81,2,23.62,Mercado Pago
T-10245,2025-01-15,El Verano que Cambió Todo,Young Adult,16.76,1,16.76,Tarjeta de Débito
T-10246,2025-01-15,La Marca del Fénix Plateado,Fantasía / Romantasy,22.54,1,22.54,Transferencia
T-10247,2025-01-15,Cyberpunk Shibuya,Manga / Novela Gráfica,14.71,1,14.71,Mercado Pago
T-10248,2025-01-15,Días de Cristal y Acero,Young Adult,17.3,1,17.3,Efectivo
T-10249,2025-01-15,Sabiduría Ancestral para Hoy,Religión / Espiritualidad,17.72,1,17.72,Tarjeta de Crédito
T-10250,2025-01-15,Inteligencia Artificial para Directivos,Negocios / Técnicos,33.87,1,33.87,Efectivo
T-10251,2025-01-15,El Inventor que Cambió el Mundo,Biografía / Memorias,28.43,1,28.43,Transferencia
T-10252,2025-01-15,Pacto de Sangre y Estrellas,Fantasía / Romantasy,20.23,1,20.23,Transferencia
T-10253,2025-01-15,Estrategia Digital 360°,Negocios / Técnicos,30.79,1,30.79,Mercado Pago
